158,rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,
159,ham,breadbutterjam,whipped/sour cream,ice cream,rolls/buns,cat food,,,,,,,,,,,,,,,,,
160,rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,
161,other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,
162,sausage,pastry,,,,,,,,,,,,,,,,,,,,,
163,sausage,breadbutterjam,whole milk,,,,,,,,,,,,,,,,,,,,
164,frankfurter,tropical fruit,rolls/buns,brown bread,sugar,,,,,,,,,,,,,,,,,,
165,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,
166,whole milk,,,,,,,,,,,,,,,,,,,,,,
167,curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,
168,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,
169,sausage,whole milk,curd,,,,,,,,,,,,,,,,,,,,
170,tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,
171,red/blush wine,,,,,,,,,,,,,,,,,,,,,,
172,whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),,,,,,,,,,,,,,,,
173,frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,,,,,,,,,,,,,,,
174,whole milk,meat spreads,soda,,,,,,,,,,,,,,,,,,,,
175,frozen potato products,,,,,,,,,,,,,,,,,,,,,,
176,other vegetables,whole milk,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,
177,citrus fruit,whole milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,
178,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,
179,sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,
180,frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,
181,chocolate,,,,,,,,,,,,,,,,,,,,,,
182,root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,,,,,,,,,,,,
183,root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,
184,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,,,,,,,,,,,,,,,
185,bottled water,,,,,,,,,,,,,,,,,,,,,,
186,sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,,,,,,,,,,,,,,,,
187,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,
188,pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,
189,berries,yogurt,,,,,,,,,,,,,,,,,,,,,
190,soda,,,,,,,,,,,,,,,,,,,,,,
191,berries,,,,,,,,,,,,,,,,,,,,,,
192,fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,
193,citrus fruit,butter milk,yogurt,cream cheese ,,,,,,,,,,,,,,,,,,,
194,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,
195,detergent,,,,,,,,,,,,,,,,,,,,,,
196,grapes,photo/film,,,,,,,,,,,,,,,,,,,,,
197,sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,
198,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent,,,,,,,,,,,,,
199,whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,
200,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,
201,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,
202,sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,
203,frankfurter,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,
204,sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,,,,,,,,,,,,
205,soda,,,,,,,,,,,,,,,,,,,,,,
206,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
207,breadbutterjam,citrus fruit,berries,root vegetables,brown bread,detergent,,,,,,,,,,,,,,,,,
208,whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,
209,processed cheese,,,,,,,,,,,,,,,,,,,,,,
210,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,
211,frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,
212,packaged fruit/vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,
213,whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers,,,,,,,,,,,,,,,
214,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,
215,citrus fruit,berries,UHT-milk,processed cheese,,,,,,,,,,,,,,,,,,,
216,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,
217,hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,
218,hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,
219,whole milk,cream cheese ,soda,,,,,,,,,,,,,,,,,,,,
220,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,
221,frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,
222,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,
223,pastry,soda,,,,,,,,,,,,,,,,,,,,,
224,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,
225,misc. beverages,,,,,,,,,,,,,,,,,,,,,,
226,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,
227,sparkling wine,,,,,,,,,,,,,,,,,,,,,,
228,specialty bar,,,,,,,,,,,,,,,,,,,,,,
229,sausage,butter milk,rolls/buns,,,,,,,,,,,,,,,,,,,,
230,curd cheese,,,,,,,,,,,,,,,,,,,,,,
231,frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,
232,whole milk,yogurt,beverages,brown bread,shopping bags,,,,,,,,,,,,,,,,,,
233,newspapers,,,,,,,,,,,,,,,,,,,,,,
234,berries,soda,,,,,,,,,,,,,,,,,,,,,
235,curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,
236,tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,
237,soda,,,,,,,,,,,,,,,,,,,,,,
238,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,
239,canned beer,,,,,,,,,,,,,,,,,,,,,,
240,canned beer,,,,,,,,,,,,,,,,,,,,,,
241,frankfurter,sausage,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,
242,other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,
243,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,
244,whole milk,,,,,,,,,,,,,,,,,,,,,,
245,citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers,,,,,,,,,,,,,,,,
246,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,
247,frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,,,,,,,,,,,,
248,butter milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,
249,hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,,,,,,,,,,,,,,,
250,pasta,popcorn,,,,,,,,,,,,,,,,,,,,,
251,other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,
252,sausage,pork,citrus fruit,dessert,white bread,dishes,candles,,,,,,,,,,,,,,,,
253,rolls/buns,,,,,,,,,,,,,,,,,,,,,,
254,grapes,other vegetables,curd,dessert,yogurt,napkins,,,,,,,,,,,,,,,,,
255,root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,
256,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,
257,popcorn,,,,,,,,,,,,,,,,,,,,,,
258,whole milk,rolls/buns,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,
259,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,,,,,,,,,,,,,,,,
260,breadbutterjam,herbs,flour,cling film/bags,flower soil/fertilizer,,,,,,,,,,,,,,,,,,
261,whole milk,butter,dessert,rolls/buns,,,,,,,,,,,,,,,,,,,
262,frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,
263,tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,
264,canned beer,,,,,,,,,,,,,,,,,,,,,,
265,finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,
266,beverages,soda,,,,,,,,,,,,,,,,,,,,,
267,hamburger meat,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,
268,whole milk,pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,
269,finished products,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,
270,other vegetables,,,,,,,,,,,,,,,,,,,,,,
271,ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,
272,other vegetables,,,,,,,,,,,,,,,,,,,,,,
273,curd,butter milk,cocoa drinks,salty snack,popcorn,,,,,,,,,,,,,,,,,,
274,bottled beer,,,,,,,,,,,,,,,,,,,,,,
275,curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,
276,whole milk,cream cheese ,cereals,dog food,,,,,,,,,,,,,,,,,,,
277,whole milk,salt,,,,,,,,,,,,,,,,,,,,,
278,dessert,ice cream,,,,,,,,,,,,,,,,,,,,,
279,sausage,soft cheese,coffee,,,,,,,,,,,,,,,,,,,,
280,other vegetables,bottled water,waffles,dishes,shopping bags,,,,,,,,,,,,,,,,,,
281,ham,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,
282,other vegetables,ice cream,,,,,,,,,,,,,,,,,,,,,
283,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,
284,soda,bottled beer,white wine,prosecco,,,,,,,,,,,,,,,,,,,
285,herbs,candy,,,,,,,,,,,,,,,,,,,,,
286,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles
287,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,
288,curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,
289,frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags,,,,,,,,,,,,,,,,,
290,other vegetables,,,,,,,,,,,,,,,,,,,,,,
291,dog food,,,,,,,,,,,,,,,,,,,,,,
292,specialty bar,,,,,,,,,,,,,,,,,,,,,,
293,curd,salt,liquor (appetizer),detergent,shopping bags,,,,,,,,,,,,,,,,,,
294,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,
295,soda,,,,,,,,,,,,,,,,,,,,,,
296,breadbutterjam,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,,,,,,,,,,,,,,,,
297,canned beer,,,,,,,,,,,,,,,,,,,,,,
298,pork,breadbutterjam,pip fruit,herbs,spices,,,,,,,,,,,,,,,,,,
299,frankfurter,citrus fruit,UHT-milk,margarine,sugar,,,,,,,,,,,,,,,,,,
300,sausage,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,
301,canned beer,,,,,,,,,,,,,,,,,,,,,,
302,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,
303,curd,rolls/buns,,,,,,,,,,,,,,,,,,,,,
304,canned beer,,,,,,,,,,,,,,,,,,,,,,
305,whole milk,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,
306,rolls/buns,chewing gum,,,,,,,,,,,,,,,,,,,,,
307,pork,root vegetables,other vegetables,whole milk,dishes,,,,,,,,,,,,,,,,,,
308,citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,
309,pot plants,,,,,,,,,,,,,,,,,,,,,,
310,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,
311,butter,yogurt,bottled water,soda,make up remover,hygiene articles,,,,,,,,,,,,,,,,,
312,condensed milk,sugar,coffee,shopping bags,,,,,,,,,,,,,,,,,,,
313,sausage,other vegetables,yogurt,soda,shopping bags,,,,,,,,,,,,,,,,,,
314,whole milk,beverages,UHT-milk,soda,,,,,,,,,,,,,,,,,,,
315,sausage,pork,breadbutterjam,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,
316,beverages,,,,,,,,,,,,,,,,,,,,,,
317,beverages,specialty bar,,,,,,,,,,,,,,,,,,,,,
318,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
319,newspapers,,,,,,,,,,,,,,,,,,,,,,
320,cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,,
321,sausage,soda,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,
322,newspapers,,,,,,,,,,,,,,,,,,,,,,
323,sausage,breadbutterjam,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware,,,,,,,,,,,
324,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,
325,white wine,,,,,,,,,,,,,,,,,,,,,,
326,sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags,,,,,,,,,,,,,,,,,
327,meat,curd,bottled beer,cake bar,,,,,,,,,,,,,,,,,,,
328,frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags,,,,,,,,,,,,,,,
329,ice cream,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,
330,canned beer,,,,,,,,,,,,,,,,,,,,,,
331,tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags,,,,,,,,,,,,,,,,,
332,meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water,,,,,,,,,,,
333,whole milk,mustard,bottled water,,,,,,,,,,,,,,,,,,,,
334,sausage,breadbutterjam,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds),,,,,,,,,,,,,,,
335,frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product,,,,,,,,,,,,,,
336,meat,other vegetables,butter,rolls/buns,,,,,,,,,,,,,,,,,,,
337,root vegetables,beverages,Instant food products,pickled vegetables,detergent,,,,,,,,,,,,,,,,,,
338,root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns,,,,,,,,,,,,,,,,,
339,whole milk,whipped/sour cream,semi-finished bread,margarine,,,,,,,,,,,,,,,,,,,
340,citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins,,,,,,,
341,citrus fruit,curd,pastry,margarine,sugar,candy,newspapers,,,,,,,,,,,,,,,,
342,other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins,,,,,,,,,,,,,,,
343,citrus fruit,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,
344,sausage,oil,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,
345,frankfurter,breadbutterjam,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer,,,,,,,,,,,,
346,hard cheese,rolls/buns,bottled water,newspapers,,,,,,,,,,,,,,,,,,,
347,cream cheese ,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,
348,turkey,breadbutterjam,frozen vegetables,dishes,photo/film,,,,,,,,,,,,,,,,,,
349,pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags,,,,,,,,,,,,,,,,,
350,whole milk,beverages,,,,,,,,,,,,,,,,,,,,,
351,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,
352,sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles,,,,,,,,,,,,,,
353,ice cream,,,,,,,,,,,,,,,,,,,,,,
354,liquor,,,,,,,,,,,,,,,,,,,,,,
355,pip fruit,other vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,
356,root vegetables,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,
357,soda,,,,,,,,,,,,,,,,,,,,,,
358,soda,,,,,,,,,,,,,,,,,,,,,,
359,sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers,,,,,,,,,,,,
360,root vegetables,whole milk,pet care,detergent,,,,,,,,,,,,,,,,,,,
361,pork,berries,root vegetables,other vegetables,pastry,specialty bar,,,,,,,,,,,,,,,,,
362,pork,,,,,,,,,,,,,,,,,,,,,,
363,chocolate,,,,,,,,,,,,,,,,,,,,,,
364,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
365,pickled vegetables,coffee,,,,,,,,,,,,,,,,,,,,,
366,bottled water,,,,,,,,,,,,,,,,,,,,,,
367,frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices,,,,,,,,,,,,,,,,
368,tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins,,,,,,,,,,,
369,canned beer,,,,,,,,,,,,,,,,,,,,,,
370,root vegetables,,,,,,,,,,,,,,,,,,,,,,
371,meat,citrus fruit,berries,root vegetables,whole milk,soda,,,,,,,,,,,,,,,,,
372,frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,
373,tropical fruit,margarine,rum,,,,,,,,,,,,,,,,,,,,
374,tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles,,,,,,,,,,,,,,,
375,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles,,,,,,,,,,,,
376,hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice,,,,,,,,,,,,
377,chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles,,,,,,,,,,,,
378,chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns,,,,,,,,,,,,,,,,
379,frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda,,,,,,,,,,,,,,,
380,canned beer,,,,,,,,,,,,,,,,,,,,,,
381,turkey,pip fruit,salad dressing,pastry,,,,,,,,,,,,,,,,,,,
382,packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages,,,,,,,,,,,,,
383,pasta,,,,,,,,,,,,,,,,,,,,,,
384,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,
385,sausage,whole milk,yogurt,rolls/buns,brown bread,pot plants,,,,,,,,,,,,,,,,,
386,whole milk,frozen meals,pastry,fruit/vegetable juice,waffles,,,,,,,,,,,,,,,,,,
387,canned beer,,,,,,,,,,,,,,,,,,,,,,
388,citrus fruit,sugar,sauces,,,,,,,,,,,,,,,,,,,,
389,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,
390,citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags,,,,,,,,,,,,,,,,,,
391,sausage,,,,,,,,,,,,,,,,,,,,,,
392,chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers,,,,,,,,,,,,,,
393,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine,,,,,,,,,,,,,,
394,sausage,pork,other vegetables,dessert,yogurt,oil,soda,,,,,,,,,,,,,,,,
395,breadbutterjam,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner,,,,,,,,,,,,,,,,,
396,citrus fruit,packaged fruit/vegetables,yogurt,bottled water,,,,,,,,,,,,,,,,,,,
397,UHT-milk,coffee,,,,,,,,,,,,,,,,,,,,,
398,candy,,,,,,,,,,,,,,,,,,,,,,
399,newspapers,,,,,,,,,,,,,,,,,,,,,,
400,breadbutterjam,citrus fruit,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,
401,sausage,rolls/buns,,,,,,,,,,,,,,,,,,,,,
402,frankfurter,breadbutterjam,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins,,,,,,,,,,
403,canned beer,,,,,,,,,,,,,,,,,,,,,,
404,bottled beer,,,,,,,,,,,,,,,,,,,,,,
405,onions,soda,chewing gum,chocolate,newspapers,,,,,,,,,,,,,,,,,,
406,tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,candy,,,,,,,,,,,,,,,,,,
407,bottled water,white wine,,,,,,,,,,,,,,,,,,,,,
408,breadbutterjam,white bread,pastry,pasta,soap,,,,,,,,,,,,,,,,,,
409,sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner,,,,,,,,,,,,,,
410,hair spray,,,,,,,,,,,,,,,,,,,,,,
411,chicken,whole milk,spices,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,,
412,pork,citrus fruit,brown bread,pastry,sugar,cat food,,,,,,,,,,,,,,,,,
413,ice cream,,,,,,,,,,,,,,,,,,,,,,
414,meat,hard cheese,bottled beer,,,,,,,,,,,,,,,,,,,,
415,other vegetables,yogurt,brown bread,instant coffee,,,,,,,,,,,,,,,,,,,
416,bottled water,cake bar,,,,,,,,,,,,,,,,,,,,,
417,tropical fruit,soda,salty snack,,,,,,,,,,,,,,,,,,,,
418,photo/film,,,,,,,,,,,,,,,,,,,,,,
419,sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes,,,,,,,,,,,,,,,,
420,grapes,root vegetables,,,,,,,,,,,,,,,,,,,,,
421,domestic eggs,brown bread,photo/film,,,,,,,,,,,,,,,,,,,,
422,rolls/buns,canned fish,canned beer,,,,,,,,,,,,,,,,,,,,
423,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,
424,chicken,,,,,,,,,,,,,,,,,,,,,,
425,frankfurter,other vegetables,yogurt,brown bread,bottled water,,,,,,,,,,,,,,,,,,
426,berries,root vegetables,other vegetables,curd,butter milk,cream cheese ,roll products ,margarine,misc. beverages,specialty chocolate,detergent,,,,,,,,,,,,
427,margarine,hygiene articles,,,,,,,,,,,,,,,,,,,,,
