id,season,year,holiday,weekday,workingday,weather,temp,feel_temp,hum,windspeed,promotion_level,promotion_type,promotion_level_external,promotion_type_external,casual,registered,cnt
12836,spring,2016,0,0,0,fair,0.384348,0.380091,0.527391,0.270604,6,1,8,3,576,1435,2011
12837,spring,2016,0,1,1,fair,0.325217,0.332,0.496957,0.136926,3,1,2,0,232,1687,1919
12838,spring,2016,0,2,1,cloud,0.317391,0.318178,0.655652,0.184309,3,1,8,3,178,1767,1945
12839,spring,2016,0,3,1,cloud,0.365217,0.36693,0.776522,0.203117,5,1,10,0,196,1871,2067
12840,spring,2016,0,4,1,fair,0.415,0.410333,0.602917,0.209579,1,1,1,3,260,2320,2580
12841,spring,2016,0,5,1,fair,0.54,0.527009,0.525217,0.231017,6,0,10,3,508,2355,2863
12842,spring,2016,0,6,0,fair,0.4725,0.466525,0.379167,0.368167,1,0,8,0,809,1693,2502
12843,spring,2016,0,0,0,fair,0.3325,0.32575,0.47375,0.207721,4,0,9,1,611,1424,2035
12844,spring,2016,0,1,1,cloud,0.430435,0.409735,0.737391,0.288783,3,0,8,2,242,1676,1918
12845,spring,2016,0,2,1,fair,0.441667,0.440642,0.624583,0.22575,2,0,10,2,280,2243,2523
12846,spring,2016,0,3,1,cloud,0.346957,0.337939,0.839565,0.234261,8,1,5,2,128,1918,2046
12847,spring,2016,0,4,1,cloud,0.285,0.270833,0.805833,0.243787,5,1,7,1,107,1699,1806
12848,spring,2016,0,5,1,fair,0.264167,0.256312,0.495,0.230725,7,0,8,3,189,1910,2099
12849,spring,2016,0,6,0,fair,0.265833,0.257571,0.394167,0.209571,5,0,4,3,571,1515,2086
12850,spring,2016,0,0,0,cloud,0.253043,0.250339,0.493913,0.1843,6,0,1,1,309,1221,1530
12851,spring,2016,0,1,1,fair,0.264348,0.257574,0.302174,0.212204,2,0,10,3,154,1806,1960
12852,spring,2016,0,2,1,fair,0.3025,0.292908,0.314167,0.226996,4,1,8,0,203,2108,2311
12853,spring,2016,0,3,1,cloud,0.3,0.29735,0.646667,0.172888,4,0,10,3,114,1368,1482
12854,spring,2016,0,4,1,rain,0.268333,0.257575,0.918333,0.217646,5,1,5,1,98,1506,1604
12855,spring,2016,0,5,1,cloud,0.3,0.283454,0.68625,0.258708,5,1,2,1,188,1920,2108
12856,spring,2016,0,6,0,cloud,0.315,0.315637,0.65375,0.197146,5,0,5,1,526,1354,1880
12857,spring,2016,0,0,0,fair,0.378333,0.378767,0.48,0.182213,2,0,4,0,920,1598,2518
12858,spring,2016,0,1,1,fair,0.573333,0.542929,0.42625,0.385571,2,0,8,1,430,2381,2811
12859,spring,2016,0,2,1,cloud,0.414167,0.39835,0.642083,0.388067,6,0,7,0,116,1628,1744
12860,spring,2016,0,3,1,fair,0.390833,0.387608,0.470833,0.263063,3,0,6,0,253,2395,2648
12861,spring,2016,0,4,1,fair,0.4375,0.433696,0.602917,0.162312,4,0,7,0,340,2570,2910
12862,spring,2016,0,5,1,cloud,0.335833,0.324479,0.83625,0.226992,3,0,10,0,124,1299,1423
12863,spring,2016,0,6,0,cloud,0.3425,0.341529,0.8775,0.133083,5,0,5,1,518,1576,2094
12864,spring,2016,0,0,0,cloud,0.426667,0.426737,0.8575,0.146767,6,1,9,1,680,1707,2387
12865,spring,2016,0,1,1,cloud,0.595652,0.565217,0.716956,0.324474,4,0,6,3,482,2493,2975
12866,spring,2016,0,2,1,cloud,0.5025,0.493054,0.739167,0.274879,1,0,3,3,173,1777,1950
12867,spring,2016,0,3,1,cloud,0.4125,0.417283,0.819167,0.250617,4,0,10,2,139,1953,2092
12868,spring,2016,0,4,1,fair,0.4675,0.462742,0.540417,0.1107,4,1,1,3,324,2738,3062
12869,spring,2016,1,5,0,fair,0.446667,0.441913,0.67125,0.226375,4,0,3,1,408,2484,2892
12870,spring,2016,0,6,0,rain,0.430833,0.425492,0.888333,0.340808,5,1,7,1,124,674,798
12871,spring,2016,0,0,0,fair,0.456667,0.445696,0.479583,0.303496,4,0,1,3,870,2186,3056
12872,spring,2016,0,1,1,fair,0.5125,0.503146,0.5425,0.163567,1,1,3,1,403,2760,3163
12873,spring,2016,0,2,1,cloud,0.505833,0.489258,0.665833,0.157971,3,1,4,1,259,2795,3054
12874,spring,2016,0,3,1,fair,0.595,0.564392,0.614167,0.241925,4,1,2,3,368,3331,3699
12875,spring,2016,0,4,1,fair,0.459167,0.453892,0.407083,0.325258,2,0,10,2,423,3444,3867
12876,spring,2016,0,5,1,cloud,0.336667,0.321954,0.729583,0.219521,6,0,5,1,127,1506,1633
12877,spring,2016,0,6,0,cloud,0.46,0.450121,0.887917,0.230725,6,1,9,3,814,2574,3388
12878,spring,2016,0,0,0,cloud,0.581667,0.551763,0.810833,0.192175,7,1,3,1,954,2481,3435
12879,spring,2016,0,1,1,fair,0.606667,0.5745,0.776667,0.185333,5,0,2,1,456,3300,3756
12880,spring,2016,0,2,1,fair,0.631667,0.594083,0.729167,0.3265,3,0,8,1,401,3722,4123
12881,spring,2016,0,3,1,cloud,0.62,0.575142,0.835417,0.3122,5,1,9,1,325,3325,3650
12882,spring,2016,0,4,1,cloud,0.6175,0.578929,0.700833,0.320908,5,1,8,0,340,3489,3829
12883,spring,2016,0,5,1,fair,0.51,0.497463,0.457083,0.240063,5,1,8,0,507,3717,4224
12884,spring,2016,0,6,0,fair,0.4725,0.464021,0.503333,0.235075,5,1,1,1,1082,3347,4429
12885,spring,2016,0,0,0,cloud,0.451667,0.448204,0.762083,0.106354,5,0,3,2,660,2213,2873
12886,spring,2016,0,1,1,cloud,0.549167,0.532833,0.73,0.183454,6,1,6,2,482,3554,4036
12887,spring,2016,0,2,1,cloud,0.616667,0.582079,0.697083,0.342667,3,0,3,2,355,3848,4203
12888,spring,2016,0,3,1,cloud,0.414167,0.40465,0.737083,0.328996,1,0,5,3,159,2378,2537
12889,spring,2016,0,4,1,fair,0.459167,0.441917,0.444167,0.295392,6,1,3,2,357,3819,4176
12890,spring,2016,0,5,1,fair,0.479167,0.474117,0.59,0.228246,4,0,1,0,509,3714,4223
12891,spring,2016,0,6,0,fair,0.52,0.512621,0.54125,0.16045,5,1,1,1,914,3102,4016
12892,spring,2016,0,0,0,fair,0.528333,0.518933,0.631667,0.0746375,7,1,5,3,809,2932,3741
12893,spring,2016,0,1,1,fair,0.5325,0.525246,0.58875,0.176,5,0,3,0,400,3698,4098
12894,spring,2016,0,2,1,fair,0.5325,0.522721,0.489167,0.115671,5,0,5,2,414,4109,4523
12895,spring,2016,0,3,1,fair,0.5425,0.5284,0.632917,0.120642,3,0,4,3,338,3632,3970
12896,spring,2016,0,4,1,fair,0.535,0.523363,0.7475,0.189667,2,0,9,1,407,4169,4576
12897,spring,2016,0,5,1,cloud,0.5125,0.4943,0.863333,0.179725,5,0,9,0,403,3413,3816
12898,spring,2016,0,6,0,cloud,0.520833,0.500629,0.9225,0.13495,2,0,4,3,545,2507,3052
12899,spring,2016,0,0,0,cloud,0.5625,0.536,0.867083,0.152979,5,1,3,0,891,2971,3862
12900,spring,2016,0,1,1,fair,0.5775,0.550512,0.787917,0.126871,5,1,9,0,458,3185,3643
12901,spring,2016,0,2,1,cloud,0.561667,0.538529,0.837917,0.277354,3,1,9,2,388,3445,3833
12902,spring,2016,0,3,1,cloud,0.55,0.527158,0.87,0.201492,6,0,2,2,316,3319,3635
12903,spring,2016,0,4,1,cloud,0.530833,0.510742,0.829583,0.108213,1,0,4,0,425,3840,4265
12904,spring,2016,0,5,1,fair,0.536667,0.529042,0.719583,0.125013,8,0,8,1,524,4008,4532
12905,spring,2016,0,6,0,fair,0.6025,0.571975,0.626667,0.12065,4,0,8,2,1245,3547,4792
12906,spring,2016,0,0,0,fair,0.604167,0.5745,0.749583,0.148008,4,0,5,2,899,3084,3983
12907,spring,2016,0,1,1,cloud,0.631667,0.590296,0.81,0.233842,0,0,6,1,483,3438,3921
12908,spring,2016,0,2,1,cloud,0.66,0.604813,0.740833,0.207092,7,1,5,2,393,3833,4226
12909,spring,2016,0,3,1,fair,0.660833,0.615542,0.69625,0.154233,7,0,3,0,443,4238,4681
12910,spring,2016,0,4,1,fair,0.708333,0.654688,0.6775,0.199642,5,0,5,0,457,3919,4376
12911,spring,2016,0,5,1,fair,0.681667,0.637008,0.65375,0.240679,7,0,4,3,512,3808,4320
12912,spring,2016,0,6,0,fair,0.655833,0.612379,0.729583,0.230092,2,1,2,1,1115,2757,3872
12913,spring,2016,0,0,0,fair,0.6675,0.61555,0.81875,0.213938,6,0,6,2,1288,2433,3721
12914,spring,2016,1,1,0,fair,0.733333,0.671092,0.685,0.131225,4,0,8,2,892,2549,3441
12915,spring,2016,0,2,1,fair,0.775,0.725383,0.636667,0.111329,4,1,2,1,427,3309,3736
12916,summer,2016,0,3,1,cloud,0.764167,0.720967,0.677083,0.207092,7,0,6,3,319,3461,3780
12917,summer,2016,0,4,1,fair,0.715,0.643942,0.305,0.292287,6,0,3,1,437,4232,4669
12918,summer,2016,0,5,1,fair,0.62,0.587133,0.354167,0.253121,2,1,10,1,519,4414,4933
12919,summer,2016,0,6,0,fair,0.635,0.594696,0.45625,0.123142,4,1,1,1,1048,3473,4521
12920,summer,2016,0,0,0,cloud,0.648333,0.616804,0.6525,0.138692,7,1,3,2,944,3221,4165
12921,summer,2016,0,1,1,fair,0.678333,0.621858,0.6,0.121896,3,0,9,1,411,3875,4286
12922,summer,2016,0,2,1,fair,0.7075,0.65595,0.597917,0.187808,4,1,9,2,451,4070,4521
12923,summer,2016,0,3,1,fair,0.775833,0.727279,0.622083,0.136817,1,1,3,0,418,3725,4143
12924,summer,2016,0,4,1,cloud,0.808333,0.757579,0.568333,0.149883,7,0,3,0,358,3352,3710
12925,summer,2016,0,5,1,fair,0.755,0.703292,0.605,0.140554,4,0,8,3,489,3771,4260
12926,summer,2016,0,6,0,fair,0.725,0.678038,0.654583,0.15485,7,1,1,1,980,3237,4217
12927,summer,2016,0,0,0,fair,0.6925,0.643325,0.747917,0.163567,5,0,3,2,841,2993,3834
12928,summer,2016,0,1,1,fair,0.635,0.601654,0.494583,0.30535,4,0,3,3,491,4157,4648
12929,summer,2016,0,2,1,fair,0.604167,0.591546,0.507083,0.269283,2,1,10,2,420,4164,4584
12930,summer,2016,0,3,1,fair,0.626667,0.587754,0.471667,0.167912,7,1,7,1,448,4411,4859
12931,summer,2016,0,4,1,cloud,0.628333,0.595346,0.688333,0.206471,6,1,5,1,325,3222,3547
12932,summer,2016,0,5,1,fair,0.649167,0.600383,0.735833,0.143029,5,1,2,2,500,3981,4481
12933,summer,2016,0,6,0,fair,0.696667,0.643954,0.670417,0.119408,5,0,9,3,1017,3312,4329
12934,summer,2016,0,0,0,cloud,0.699167,0.645846,0.666667,0.102,4,0,3,0,930,3105,4035
12935,summer,2016,0,1,1,cloud,0.635,0.595346,0.74625,0.155475,4,0,1,3,407,3311,3718
12936,summer,2016,0,2,1,cloud,0.680833,0.637646,0.770417,0.171025,5,0,8,1,445,4061,4506
12937,summer,2016,0,3,1,fair,0.733333,0.693829,0.7075,0.172262,4,1,5,2,399,3846,4245
12938,summer,2016,0,4,1,cloud,0.728333,0.693833,0.703333,0.238804,7,1,6,2,432,4044,4476
12939,summer,2016,0,5,1,fair,0.724167,0.656583,0.573333,0.222025,5,0,2,0,561,4022,4583
12940,summer,2016,0,6,0,fair,0.695,0.643313,0.483333,0.209571,2,0,7,0,1007,3420,4427
12941,summer,2016,0,0,0,fair,0.68,0.637629,0.513333,0.0945333,5,1,4,1,1077,3385,4462
12942,summer,2016,0,1,1,cloud,0.6825,0.637004,0.658333,0.107588,1,1,4,0,498,3854,4352
12943,summer,2016,0,2,1,fair,0.744167,0.692558,0.634167,0.144283,3,0,6,0,442,3916,4358
12944,summer,2016,0,3,1,fair,0.728333,0.654688,0.497917,0.261821,6,1,6,1,492,4377,4869
12945,summer,2016,0,4,1,fair,0.696667,0.637008,0.434167,0.185312,4,0,1,0,586,4488,5074
12946,summer,2016,0,5,1,fair,0.7225,0.652162,0.39625,0.102608,7,0,9,0,710,4116,4826
12947,summer,2016,0,6,0,fair,0.738333,0.667308,0.444583,0.115062,0,0,1,1,1228,2915,4143
12948,summer,2016,0,0,0,cloud,0.716667,0.668575,0.6825,0.228858,6,1,1,0,1245,2367,3612
12949,summer,2016,1,1,0,cloud,0.726667,0.665417,0.637917,0.0814792,0,1,4,2,1639,2978,4617
12950,summer,2016,0,2,1,fair,0.746667,0.696338,0.590417,0.126258,4,1,9,1,593,3634,4227
12951,summer,2016,0,3,1,fair,0.72,0.685633,0.743333,0.149883,7,0,9,0,461,3845,4306
12952,summer,2016,0,4,1,fair,0.75,0.686871,0.65125,0.1592,7,1,7,1,450,3838,4288
12953,summer,2016,0,5,1,cloud,0.709167,0.670483,0.757917,0.225129,5,1,10,3,410,3348,3758
12954,summer,2016,0,6,0,fair,0.733333,0.664158,0.609167,0.167912,3,0,9,2,1111,3348,4459
12955,summer,2016,0,0,0,fair,0.7475,0.690025,0.578333,0.183471,4,0,10,3,987,3138,4125
12956,summer,2016,0,1,1,fair,0.7625,0.729804,0.635833,0.282337,5,1,9,2,433,3363,3796
12957,summer,2016,0,2,1,fair,0.794167,0.739275,0.559167,0.200254,4,0,1,3,407,3596,4003
12958,summer,2016,0,3,1,fair,0.746667,0.689404,0.631667,0.146133,4,0,1,2,446,3594,4040
12959,summer,2016,0,4,1,fair,0.680833,0.635104,0.47625,0.240667,8,0,4,1,508,4196,4704
12960,summer,2016,0,5,1,fair,0.663333,0.624371,0.59125,0.182833,6,0,3,1,730,4220,4950
12961,summer,2016,0,6,0,fair,0.686667,0.638263,0.585,0.208342,6,1,4,0,1321,3505,4826
12962,summer,2016,0,0,0,fair,0.719167,0.669833,0.604167,0.245033,4,0,8,2,1112,3296,4408
12963,summer,2016,0,1,1,fair,0.746667,0.703925,0.65125,0.215804,2,1,4,1,496,3617,4113
12964,summer,2016,0,2,1,fair,0.776667,0.747479,0.650417,0.1306,6,0,5,0,455,3789,4244
12965,summer,2016,0,3,1,fair,0.768333,0.74685,0.707083,0.113817,4,1,5,0,400,3688,4088
12966,summer,2016,0,4,1,cloud,0.815,0.826371,0.69125,0.222021,6,1,6,2,385,3152,3537
12967,summer,2016,0,5,1,fair,0.848333,0.840896,0.580417,0.1331,5,0,9,1,375,2825,3200
12968,summer,2016,0,6,0,fair,0.849167,0.804287,0.5,0.131221,5,1,5,0,628,2298,2926
12969,summer,2016,0,0,0,fair,0.83,0.794829,0.550833,0.169171,3,0,9,2,652,2556,3208
12970,summer,2016,0,1,1,fair,0.743333,0.720958,0.757083,0.0908083,1,0,8,0,365,3272,3637
12971,summer,2016,0,2,1,fair,0.771667,0.696979,0.540833,0.200258,3,1,5,1,452,3840,4292
12972,summer,2016,0,3,1,fair,0.775,0.690667,0.402917,0.183463,4,1,3,1,457,3901,4358
12973,summer,2016,0,4,1,fair,0.779167,0.7399,0.583333,0.178479,3,1,3,3,379,3784,4163
12974,summer,2016,0,5,1,fair,0.838333,0.785967,0.5425,0.174138,5,0,3,3,424,3176,3600
12975,summer,2016,0,6,0,fair,0.804167,0.728537,0.465833,0.168537,3,1,2,3,906,2916,3822
12976,summer,2016,0,0,0,fair,0.805833,0.729796,0.480833,0.164813,2,1,10,3,888,2778,3666
12977,summer,2016,0,1,1,fair,0.771667,0.703292,0.550833,0.156717,5,0,3,2,446,3537,3983
12978,summer,2016,0,2,1,fair,0.783333,0.707071,0.49125,0.20585,5,1,1,2,478,4044,4522
12979,summer,2016,0,3,1,cloud,0.731667,0.679937,0.6575,0.135583,4,1,5,2,300,3107,3407
12980,summer,2016,0,4,1,cloud,0.71,0.664788,0.7575,0.19715,7,1,1,3,456,3777,4233
12981,summer,2016,0,5,1,fair,0.710833,0.656567,0.630833,0.184696,4,0,2,3,585,3843,4428
12982,summer,2016,0,6,0,cloud,0.716667,0.676154,0.755,0.22825,4,1,2,1,864,2773,3637
12983,summer,2016,0,0,0,fair,0.7425,0.715292,0.752917,0.201487,0,1,1,0,763,2487,3250
12984,summer,2016,0,1,1,fair,0.765,0.703283,0.592083,0.192175,6,1,10,0,503,3480,3983
12985,summer,2016,0,2,1,fair,0.775,0.724121,0.570417,0.151121,1,1,3,0,535,3695,4230
12986,summer,2016,0,3,1,fair,0.766667,0.684983,0.424167,0.200258,4,1,8,3,518,3896,4414
12987,summer,2016,0,4,1,fair,0.7175,0.651521,0.42375,0.164796,6,0,5,0,481,3980,4461
12988,summer,2016,0,5,1,fair,0.708333,0.654042,0.415,0.125621,4,1,3,0,611,3854,4465
12989,summer,2016,0,6,0,cloud,0.685833,0.645858,0.729583,0.211454,6,0,8,0,854,2646,3500
12990,summer,2016,0,0,0,cloud,0.676667,0.624388,0.8175,0.222633,5,0,5,0,767,2482,3249
12991,summer,2016,0,1,1,fair,0.665833,0.616167,0.712083,0.208954,7,1,4,3,450,3563,4013
12992,summer,2016,0,2,1,fair,0.700833,0.645837,0.578333,0.236329,2,1,10,0,429,4004,4433
12993,summer,2016,0,3,1,fair,0.723333,0.666671,0.575417,0.143667,0,0,7,3,406,4026,4432
12994,summer,2016,0,4,1,fair,0.711667,0.662258,0.654583,0.233208,6,0,4,1,384,3166,3550
12995,summer,2016,0,5,1,cloud,0.685,0.633221,0.722917,0.139308,3,0,4,3,465,3356,3821
12996,summer,2016,0,6,0,fair,0.6975,0.648996,0.674167,0.104467,5,0,8,2,1072,3277,4349
12997,summer,2016,0,0,0,fair,0.710833,0.675525,0.77,0.248754,8,0,2,0,730,2624,3354
12998,summer,2016,0,1,1,fair,0.691667,0.638254,0.47,0.27675,4,0,4,1,486,3925,4411
12999,summer,2016,0,2,1,fair,0.640833,0.606067,0.455417,0.146763,3,0,5,1,709,4614,5323
13000,summer,2016,0,3,1,fair,0.673333,0.630692,0.605,0.253108,2,0,9,3,534,4181,4715
13001,summer,2016,0,4,1,cloud,0.684167,0.645854,0.771667,0.210833,4,0,1,2,272,3107,3379
13002,summer,2016,0,5,1,fair,0.7,0.659733,0.76125,0.0839625,4,1,2,0,463,3893,4356
13003,summer,2016,0,6,0,cloud,0.68,0.635556,0.85,0.375617,4,0,3,3,200,889,1089
13004,summer,2016,0,0,0,fair,0.707059,0.647959,0.561765,0.304659,5,1,6,3,812,2919,3731
13005,summer,2016,0,1,1,fair,0.636667,0.607958,0.554583,0.159825,1,1,10,3,433,3905,4338
13006,summer,2016,0,2,1,fair,0.639167,0.594704,0.548333,0.125008,6,1,4,3,453,4429,4882
13007,summer,2016,0,3,1,fair,0.656667,0.611121,0.597917,0.0833333,6,1,1,3,411,4370,4781
13008,autumn,2016,0,4,1,fair,0.655,0.614921,0.639167,0.141796,3,1,5,2,464,4332,4796
13009,autumn,2016,0,5,1,cloud,0.643333,0.604808,0.727083,0.139929,5,1,6,2,508,3852,4360
13010,autumn,2016,0,6,0,fair,0.669167,0.633213,0.716667,0.185325,7,0,2,2,1080,2549,3629
13011,autumn,2016,0,0,0,fair,0.709167,0.665429,0.742083,0.206467,5,0,1,2,1375,2419,3794
13012,autumn,2016,1,1,0,cloud,0.673333,0.625646,0.790417,0.212696,5,1,4,3,713,2115,2828
13013,autumn,2016,0,2,1,rain,0.54,0.5152,0.886957,0.343943,4,0,7,1,129,2506,2635
13014,autumn,2016,0,3,1,rain,0.599167,0.544229,0.917083,0.0970208,7,1,6,1,103,1878,1981
13015,autumn,2016,0,4,1,rain,0.633913,0.555361,0.939565,0.192748,1,1,7,0,122,1689,1811
13016,autumn,2016,0,5,1,cloud,0.65,0.578946,0.897917,0.124379,7,0,1,3,274,3127,3401
13017,autumn,2016,0,6,0,fair,0.66,0.607962,0.75375,0.153608,3,1,6,2,990,3595,4585
13018,autumn,2016,0,0,0,fair,0.653333,0.609229,0.71375,0.115054,6,0,2,1,932,3413,4345
13019,autumn,2016,0,1,1,fair,0.644348,0.60213,0.692174,0.088913,7,1,2,2,421,4023,4444
13020,autumn,2016,0,2,1,fair,0.650833,0.603554,0.7125,0.141804,9,1,6,2,419,4062,4481
